id,gender,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1,巢己,15,版康磊,57000,27000,98,144,No
2,巢己,16,荤公流,40200,18750,98,36,No
3,咯己,12,荤公流,21450,12000,98,381,No
4,咯己,8,荤公流,21900,13200,98,190,No
5,巢己,15,荤公流,45000,21000,98,138,No
6,巢己,15,荤公流,32100,13500,98,67,No
7,巢己,15,荤公流,36000,18750,98,114,No
8,咯己,12,荤公流,21900,9750,98,0,No
9,咯己,15,荤公流,27900,12750,98,115,No
10,咯己,12,荤公流,24000,13500,98,244,No
11,咯己,16,荤公流,30300,16500,98,143,No
12,巢己,8,荤公流,28350,12000,98,26,Yes
13,巢己,15,荤公流,27750,14250,98,34,Yes
14,咯己,15,荤公流,35100,16800,98,137,Yes
15,巢己,12,荤公流,27300,13500,97,66,No
16,巢己,12,荤公流,40800,15000,97,24,No
17,巢己,15,荤公流,46000,14250,97,48,No
18,巢己,16,版康磊,103750,27510,97,70,No
19,巢己,12,荤公流,42300,14250,97,103,No
20,咯己,12,荤公流,26250,11550,97,48,No
21,咯己,16,荤公流,38850,15000,97,17,No
22,巢己,12,荤公流,21750,12750,97,315,Yes
23,咯己,15,荤公流,24000,11100,97,75,Yes
24,咯己,12,荤公流,16950,9000,97,124,Yes
25,咯己,15,荤公流,21150,9000,97,171,Yes
26,巢己,15,荤公流,31050,12600,96,14,No
27,巢己,19,版康磊,60375,27480,96,96,No
28,巢己,15,荤公流,32550,14250,96,43,No
29,巢己,19,版康磊,135000,79980,96,199,No
30,巢己,15,荤公流,31200,14250,96,54,No
31,巢己,12,荤公流,36150,14250,96,83,No
32,巢己,19,版康磊,110625,45000,96,120,No
33,巢己,15,荤公流,42000,15000,96,68,No
34,巢己,19,版康磊,92000,39990,96,175,No
35,巢己,17,版康磊,81250,30000,96,18,No
36,咯己,8,荤公流,31350,11250,96,52,No
37,巢己,12,荤公流,29100,13500,96,113,Yes
38,巢己,15,荤公流,31350,15000,96,49,Yes
39,巢己,16,荤公流,36000,15000,96,46,Yes
40,咯己,15,荤公流,19200,9000,96,23,Yes
41,咯己,12,荤公流,23550,11550,96,52,Yes
42,巢己,15,荤公流,35100,16500,95,90,No
43,巢己,12,荤公流,23250,14250,95,46,No
44,巢己,8,荤公流,29250,14250,95,50,No
45,巢己,12,包府流,30750,13500,95,307,No
46,咯己,15,荤公流,22350,12750,95,165,No
47,咯己,12,荤公流,30000,16500,95,228,No
48,巢己,12,包府流,30750,14100,94,240,No
49,巢己,15,荤公流,34800,16500,94,93,No
50,巢己,16,版康磊,60000,23730,94,59,No
51,巢己,12,荤公流,35550,15000,94,48,No
52,巢己,15,荤公流,45150,15000,94,40,No
53,巢己,18,版康磊,73750,26250,94,56,No
54,巢己,12,荤公流,25050,13500,94,444,No
55,巢己,12,荤公流,27000,15000,94,120,No
56,巢己,15,荤公流,26850,13500,94,5,No
57,巢己,15,荤公流,33900,15750,94,78,No
58,咯己,15,荤公流,26400,13500,94,3,No
59,巢己,15,荤公流,28050,14250,94,36,Yes
60,巢己,12,荤公流,30900,15000,94,102,Yes
61,巢己,8,荤公流,22500,9750,94,36,Yes
62,巢己,16,版康磊,48000,21750,93,22,No
63,巢己,17,版康磊,55000,26250,93,32,No
64,巢己,16,版康磊,53125,21000,93,48,No
65,巢己,8,荤公流,21900,14550,93,41,No
66,巢己,19,版康磊,78125,30000,93,7,No
67,巢己,16,版康磊,46000,21240,93,35,No
68,巢己,16,版康磊,45250,21480,93,36,No
69,巢己,16,版康磊,56550,25000,93,34,No
70,巢己,15,荤公流,41100,20250,93,27,No
71,巢己,17,版康磊,82500,34980,93,207,No
72,咯己,16,荤公流,54000,18000,93,11,No
73,咯己,12,荤公流,26400,10500,93,0,No
74,咯己,15,荤公流,33900,19500,93,192,No
75,咯己,15,荤公流,24150,11550,93,0,No
76,咯己,15,荤公流,29250,11550,93,11,No
77,咯己,12,荤公流,27600,11400,93,6,No
78,咯己,12,荤公流,22950,10500,93,10,No
79,咯己,16,荤公流,34800,14550,93,8,No
80,咯己,16,荤公流,51000,18000,93,22,No
81,咯己,12,荤公流,24300,10950,93,5,No
82,咯己,12,荤公流,24750,14250,93,193,Yes
83,咯己,12,荤公流,22950,11250,93,0,Yes
84,咯己,8,荤公流,25050,10950,93,8,Yes
85,巢己,15,荤公流,25950,17100,92,42,No
86,巢己,15,荤公流,31650,15750,92,64,No
87,巢己,12,荤公流,24150,14100,92,130,No
88,巢己,19,版康磊,72500,28740,92,10,No
89,巢己,19,版康磊,68750,27480,92,8,No
90,咯己,8,荤公流,16200,9750,92,0,No
91,咯己,12,荤公流,20100,11250,92,24,No
92,咯己,8,荤公流,24000,10950,92,6,No
93,咯己,12,荤公流,25950,10950,92,0,No
94,咯己,12,荤公流,24600,10050,92,44,No
95,咯己,12,荤公流,28500,10500,92,6,No
96,巢己,8,包府流,30750,15000,92,432,Yes
97,巢己,17,荤公流,40200,19500,92,168,Yes
98,巢己,8,包府流,30000,15000,92,144,Yes
99,咯己,12,荤公流,22050,10950,92,5,Yes
100,巢己,18,版康磊,78250,27480,91,47,No
101,巢己,16,版康磊,60625,22500,91,44,No
102,巢己,14,荤公流,39900,15750,91,59,No
103,巢己,19,版康磊,97000,35010,91,68,No
104,巢己,15,荤公流,27450,15750,91,48,No
105,巢己,15,荤公流,31650,13500,91,18,No
106,巢己,19,版康磊,91250,29490,91,23,No
107,咯己,12,荤公流,25200,14400,91,83,No
108,咯己,12,荤公流,21000,11550,91,108,No
109,巢己,12,荤公流,30450,15000,91,49,Yes
110,巢己,15,荤公流,28350,18000,91,151,Yes
111,巢己,12,包府流,30750,9000,91,314,Yes
112,巢己,12,包府流,30750,15000,91,240,Yes
113,巢己,16,版康磊,54875,27480,90,68,No
114,巢己,14,荤公流,37800,16500,90,60,No
115,巢己,15,荤公流,33450,14100,90,85,No
116,巢己,15,荤公流,30300,16500,90,16,No
117,咯己,12,荤公流,31500,18750,90,205,No
118,咯己,12,荤公流,31650,14250,90,48,No
119,咯己,12,荤公流,25200,14100,90,55,No
120,咯己,16,版康磊,37800,15750,90,7,No
121,咯己,15,荤公流,18750,10500,90,54,No
122,咯己,15,荤公流,32550,13500,90,22,No
123,咯己,12,荤公流,33300,15000,90,3,No
124,咯己,16,荤公流,38550,16500,90,0,No
125,巢己,12,荤公流,27450,15000,90,173,Yes
126,巢己,15,包府流,24300,15000,90,191,Yes
127,巢己,12,包府流,30750,15000,90,209,Yes
128,咯己,12,荤公流,19650,9750,90,229,Yes
129,巢己,17,版康磊,68750,27510,89,38,No
130,巢己,20,版康磊,59375,30000,89,6,No
131,巢己,15,荤公流,31500,15750,89,22,No
132,巢己,12,荤公流,27300,17250,89,175,No
133,巢己,15,荤公流,27000,15750,89,87,No
134,咯己,16,版康磊,41550,24990,89,285,No
135,咯己,12,荤公流,26250,10950,89,0,No
136,巢己,12,荤公流,22200,15000,88,324,No
137,巢己,21,版康磊,65000,37500,88,264,No
138,巢己,12,荤公流,30900,15000,88,252,No
139,咯己,8,荤公流,20100,13200,88,90,No
140,咯己,12,荤公流,22350,13500,88,26,No
141,咯己,15,荤公流,35550,13350,88,32,No
142,咯己,12,荤公流,28500,13950,88,34,No
143,咯己,12,荤公流,24450,13200,88,107,No
144,咯己,8,荤公流,16650,9750,88,412,No
145,巢己,12,荤公流,26700,13500,88,38,Yes
146,巢己,18,荤公流,43950,23250,88,182,Yes
147,巢己,15,荤公流,23700,13500,88,359,Yes
148,咯己,15,荤公流,26550,14250,88,61,Yes
149,巢己,12,荤公流,27600,15000,87,75,No
150,巢己,12,荤公流,25800,15000,87,143,No
151,巢己,16,版康磊,42300,26250,87,126,No
152,巢己,8,包府流,30750,15000,87,451,No
153,咯己,12,荤公流,26700,12900,87,18,No
154,咯己,12,荤公流,20850,12000,87,163,No
155,巢己,15,荤公流,35250,15000,87,54,Yes
156,巢己,15,荤公流,26700,15000,87,56,Yes
157,咯己,12,荤公流,26550,13050,87,11,Yes
158,咯己,12,荤公流,27750,12000,87,11,Yes
159,咯己,16,荤公流,25050,12750,87,123,Yes
160,巢己,16,版康磊,66000,47490,86,150,No
161,巢己,16,荤公流,52650,19500,86,20,No
162,巢己,16,版康磊,45625,23250,86,60,No
163,巢己,15,荤公流,30900,15000,86,25,No
164,咯己,15,荤公流,29400,16500,86,24,No
165,咯己,15,荤公流,33300,13500,86,24,No
166,咯己,12,荤公流,21900,9750,86,156,No
167,咯己,12,荤公流,18150,9750,86,72,No
168,咯己,16,版康磊,46875,17250,86,19,No
169,巢己,12,荤公流,25500,14400,86,37,Yes
170,巢己,12,荤公流,26550,15000,86,38,Yes
171,巢己,12,荤公流,26700,13500,86,367,Yes
172,咯己,15,荤公流,29850,15000,86,79,Yes
173,巢己,20,版康磊,69250,42480,85,134,No
174,巢己,8,包府流,31950,15000,85,438,No
175,巢己,8,荤公流,26250,15600,85,171,No
176,咯己,16,荤公流,35700,17250,85,19,No
177,咯己,12,荤公流,28500,16500,85,69,No
178,咯己,12,荤公流,17100,10200,85,72,No
179,巢己,12,荤公流,25200,13050,85,29,Yes
180,咯己,12,荤公流,24000,12750,85,59,Yes
181,咯己,12,荤公流,27450,10200,85,101,Yes
182,咯己,12,荤公流,18450,10200,85,228,Yes
183,巢己,15,荤公流,39300,15750,84,72,No
184,巢己,15,荤公流,38850,15000,84,53,No
185,巢己,8,包府流,30750,15000,84,380,No
186,巢己,15,荤公流,37500,20400,84,33,No
187,巢己,16,版康磊,58750,21750,84,13,No
188,咯己,12,荤公流,34500,18750,84,208,No
189,咯己,12,荤公流,36000,19980,84,240,No
190,咯己,8,荤公流,29100,16500,84,35,No
191,咯己,12,荤公流,16500,10200,84,288,No
192,巢己,12,荤公流,19650,12750,84,180,Yes
193,咯己,12,荤公流,24750,12000,84,41,Yes
194,咯己,15,荤公流,27150,15750,84,231,Yes
195,咯己,12,荤公流,26400,12750,84,36,Yes
196,咯己,16,荤公流,23100,12000,84,214,Yes
197,巢己,15,版康磊,54900,25500,83,49,No
198,巢己,19,版康磊,70875,43500,83,156,No
199,巢己,16,版康磊,51250,27480,83,69,No
200,巢己,17,版康磊,67500,34980,83,9,No
201,巢己,12,荤公流,29340,19500,83,150,No
202,巢己,15,荤公流,39600,16500,83,47,No
203,巢己,12,荤公流,29100,15000,83,50,No
204,巢己,15,荤公流,33150,16500,83,69,No
205,巢己,16,版康磊,66750,52500,83,258,No
206,巢己,12,包府流,33750,15000,83,284,No
207,巢己,15,荤公流,27300,17250,83,91,No
208,咯己,12,荤公流,24000,11250,83,16,No
209,咯己,8,荤公流,19800,10200,83,75,No
210,巢己,15,荤公流,30600,16500,83,216,Yes
211,巢己,15,荤公流,28950,15000,83,108,Yes
212,巢己,15,荤公流,38400,16500,83,64,Yes
213,巢己,8,包府流,30750,15000,83,302,Yes
214,咯己,12,荤公流,20400,10950,83,9,Yes
215,咯己,12,荤公流,19200,11100,83,7,Yes
216,巢己,15,荤公流,30150,15750,82,72,No
217,巢己,16,荤公流,34620,27750,82,149,No
218,巢己,15,荤公流,80000,15750,82,34,No
219,巢己,12,荤公流,25350,15000,82,32,No
220,巢己,12,荤公流,29850,15750,82,85,No
221,咯己,12,荤公流,24000,13800,82,97,No
222,咯己,15,荤公流,27750,19500,82,265,No
223,咯己,8,荤公流,22350,10200,82,48,No
224,咯己,12,荤公流,16200,10200,82,0,No
225,咯己,15,荤公流,21900,12750,82,0,No
226,咯己,16,荤公流,23250,15750,82,4,No
227,咯己,12,荤公流,33900,12000,82,11,No
228,咯己,15,荤公流,25650,14250,82,51,No
229,咯己,12,荤公流,17250,10200,82,358,No
230,巢己,15,荤公流,22500,15000,82,371,Yes
231,巢己,16,版康磊,40200,21000,81,3,No
232,巢己,19,版康磊,55500,33750,81,62,No
233,巢己,15,荤公流,26550,15000,81,52,No
234,巢己,15,荤公流,50550,19500,81,44,No
235,巢己,19,版康磊,75000,31500,81,13,No
236,咯己,8,荤公流,27450,12000,81,9,No
237,咯己,12,荤公流,22650,11250,81,0,No
238,咯己,12,荤公流,27300,11250,81,5,No
239,咯己,12,荤公流,27750,11225,81,5,No
240,咯己,16,版康磊,54375,18750,81,81,No
241,咯己,8,荤公流,17400,10200,81,390,No
242,咯己,12,荤公流,40800,18000,81,4,No
243,咯己,12,荤公流,23100,10950,81,0,No
244,咯己,8,荤公流,22500,10950,81,5,No
245,咯己,12,荤公流,26700,11550,81,18,No
246,咯己,12,荤公流,24900,11250,81,0,No
247,咯己,12,荤公流,19650,10950,81,11,No
248,咯己,12,荤公流,22050,10950,81,9,No
249,咯己,12,荤公流,25500,12000,81,11,No
250,咯己,15,荤公流,28200,12750,81,19,No
251,咯己,12,荤公流,23100,11250,81,13,No
252,巢己,12,荤公流,25500,11400,81,9,Yes
253,咯己,8,荤公流,17100,10200,81,0,Yes
254,巢己,18,版康磊,68125,32490,80,29,No
255,巢己,12,包府流,30600,15750,80,460,No
256,巢己,19,版康磊,52125,27480,80,221,No
257,巢己,19,版康磊,61875,36750,80,199,No
258,巢己,8,荤公流,21300,11550,80,24,No
259,咯己,12,荤公流,19650,11250,80,5,No
260,咯己,12,荤公流,22350,11250,80,5,No
261,咯己,12,荤公流,23400,11250,80,18,No
262,咯己,12,荤公流,24300,10950,80,8,No
263,咯己,12,荤公流,28500,11250,80,4,No
264,咯己,12,荤公流,19950,11250,80,8,No
265,咯己,12,荤公流,23400,11250,80,0,No
266,咯己,16,荤公流,34500,17250,80,3,No
267,咯己,12,荤公流,18150,10950,80,0,No
268,巢己,12,荤公流,22350,15000,80,272,Yes
269,巢己,15,荤公流,40200,17250,79,38,No
270,巢己,15,荤公流,28650,18000,79,261,No
271,巢己,15,荤公流,27750,16500,79,55,No
272,巢己,18,荤公流,66875,31980,79,30,No
273,巢己,12,包府流,30000,15750,79,308,No
274,巢己,16,版康磊,83750,21750,79,12,No
275,巢己,12,荤公流,33900,16500,79,94,No
276,巢己,16,版康磊,56500,21000,79,12,No
277,咯己,16,版康磊,43000,17490,79,20,No
278,咯己,8,荤公流,20850,12000,79,70,No
279,咯己,12,荤公流,24450,12000,79,8,No
280,咯己,12,荤公流,24750,10950,79,5,No
281,巢己,8,包府流,34500,15750,79,246,Yes
282,巢己,14,荤公流,27900,15000,79,47,Yes
283,巢己,19,版康磊,68125,32010,78,35,No
284,巢己,19,版康磊,73500,33000,78,45,No
285,巢己,8,包府流,30750,15750,78,429,No
286,巢己,15,版康磊,40050,25500,78,133,No
287,巢己,16,荤公流,40350,19500,78,20,No
288,巢己,15,版康磊,38700,23730,78,176,No
289,巢己,17,版康磊,65000,30750,78,26,No
290,巢己,18,版康磊,51450,36240,78,149,No
291,巢己,12,包府流,35250,15750,78,387,No
292,巢己,14,荤公流,25950,15000,78,53,No
293,巢己,15,荤公流,25050,14250,78,24,No
294,巢己,12,荤公流,26700,12750,78,25,No
295,巢己,8,荤公流,24000,15750,78,476,No
296,巢己,12,荤公流,26850,15000,78,48,No
297,咯己,12,荤公流,23400,15300,78,209,No
298,咯己,12,荤公流,24600,13500,78,47,No
299,咯己,15,荤公流,32550,18000,78,6,No
300,巢己,16,荤公流,26550,15000,78,105,Yes
301,巢己,12,荤公流,31500,13500,78,7,Yes
302,巢己,8,荤公流,22350,15000,78,320,Yes
303,巢己,12,包府流,35250,15750,78,281,Yes
304,咯己,15,荤公流,25800,13500,78,51,Yes
305,巢己,12,包府流,30750,15750,77,317,No
306,巢己,15,荤公流,30750,16500,77,41,No
307,巢己,16,版康磊,50000,32490,77,264,No
308,巢己,15,荤公流,34500,18000,77,63,No
309,巢己,15,荤公流,26250,15750,77,38,No
310,巢己,16,荤公流,44875,21240,77,22,No
311,咯己,12,荤公流,22500,12000,77,63,No
312,咯己,12,荤公流,25650,14250,77,64,No
313,咯己,12,荤公流,21300,11250,77,0,No
314,咯己,12,荤公流,29850,13500,77,38,No
315,咯己,12,荤公流,34500,12150,77,4,No
316,巢己,15,荤公流,27750,15000,77,52,Yes
317,巢己,12,荤公流,27750,11550,77,12,Yes
318,巢己,16,版康磊,48750,21990,76,61,No
319,巢己,15,荤公流,43410,15750,76,12,No
320,巢己,12,荤公流,22050,15000,76,385,No
321,咯己,12,荤公流,22050,12000,76,6,No
322,咯己,12,荤公流,22500,14250,76,90,No
323,咯己,15,荤公流,25500,12000,76,7,No
324,咯己,12,荤公流,29160,15000,76,22,No
325,咯己,8,荤公流,16800,10200,76,76,No
326,巢己,8,包府流,29550,15750,76,144,Yes
327,巢己,12,荤公流,26700,15750,76,18,Yes
328,巢己,18,版康磊,55000,32490,75,125,No
329,巢己,18,版康磊,62500,34980,75,74,No
330,巢己,15,荤公流,27300,17250,75,132,No
331,咯己,12,荤公流,24450,12000,75,144,No
332,咯己,16,荤公流,33000,18000,75,26,No
333,咯己,15,荤公流,37050,18000,75,5,No
334,咯己,12,荤公流,24450,10950,75,32,Yes
335,巢己,8,包府流,31950,15750,74,408,No
336,巢己,16,版康磊,47250,21240,74,45,No
337,咯己,12,荤公流,26100,11550,74,2,No
338,咯己,8,荤公流,15900,10200,74,43,No
339,咯己,8,荤公流,23700,10650,74,281,No
340,咯己,8,荤公流,21750,12450,74,318,No
341,巢己,12,版康磊,59400,33750,74,272,Yes
342,咯己,12,荤公流,24450,14250,74,117,Yes
343,巢己,16,版康磊,103500,60000,73,150,No
344,巢己,12,荤公流,35700,16500,73,72,No
345,咯己,12,荤公流,22200,16500,73,7,No
346,咯己,15,荤公流,22950,13950,73,22,No
347,咯己,12,荤公流,23100,12000,73,228,No
348,咯己,16,版康磊,56750,30000,73,15,No
349,咯己,17,荤公流,29100,12750,73,375,No
350,咯己,12,荤公流,37650,15750,73,132,No
351,咯己,12,荤公流,27900,13500,73,32,No
352,咯己,8,荤公流,21150,12000,73,159,No
353,巢己,12,包府流,31200,15750,73,155,Yes
354,咯己,12,荤公流,20550,11250,73,154,Yes
355,巢己,15,荤公流,25950,17250,72,83,No
356,巢己,15,荤公流,28350,15000,72,48,No
357,咯己,8,荤公流,17700,10200,72,184,No
358,咯己,15,荤公流,23550,13500,72,49,No
359,咯己,12,荤公流,19950,10200,72,56,No
360,咯己,12,荤公流,29400,15300,72,30,No
361,咯己,12,荤公流,28800,13950,72,18,No
362,咯己,8,荤公流,16950,10200,72,319,No
363,巢己,16,荤公流,35700,18000,72,138,Yes
364,咯己,12,荤公流,17400,10200,72,116,Yes
365,咯己,8,荤公流,21450,10200,72,194,Yes
366,咯己,12,荤公流,24750,12000,72,68,Yes
367,咯己,12,荤公流,16950,10200,72,271,Yes
368,咯己,12,荤公流,26100,13500,72,169,Yes
369,巢己,14,荤公流,28050,15000,71,15,No
370,咯己,16,荤公流,36600,18000,71,12,No
371,咯己,16,版康磊,58125,18000,71,11,No
372,巢己,15,荤公流,21300,15750,70,372,No
373,巢己,12,荤公流,22500,16500,70,216,No
374,巢己,15,荤公流,29400,15750,70,15,No
375,巢己,12,荤公流,27450,14700,70,41,No
376,巢己,15,荤公流,29850,15750,70,48,No
377,巢己,15,荤公流,25350,15750,70,56,No
378,咯己,8,荤公流,15750,10200,70,275,No
379,咯己,8,荤公流,19650,13050,70,102,No
380,咯己,12,荤公流,21000,13500,70,82,No
381,巢己,17,荤公流,27000,18000,70,192,Yes
382,巢己,12,荤公流,24000,15750,70,120,Yes
383,巢己,17,版康磊,78500,28740,70,67,Yes
384,咯己,12,荤公流,20850,13050,70,127,Yes
385,巢己,12,包府流,30000,15750,69,348,No
386,巢己,8,包府流,28500,15750,69,174,No
387,巢己,19,版康磊,65000,31980,69,74,No
388,巢己,14,荤公流,30150,16500,69,110,No
389,巢己,19,版康磊,66875,32490,69,81,No
390,咯己,15,荤公流,24150,13500,69,7,No
391,咯己,12,荤公流,24450,12450,69,12,No
392,咯己,12,荤公流,21600,12000,69,0,No
393,咯己,12,荤公流,27900,12450,69,0,No
394,咯己,8,荤公流,29100,12450,69,17,No
395,咯己,12,荤公流,22650,11250,69,2,No
396,咯己,12,荤公流,20850,11250,69,0,No
397,咯己,12,荤公流,22950,12300,69,5,No
398,咯己,12,荤公流,30600,12450,69,5,No
399,咯己,12,荤公流,20400,11250,69,0,No
400,咯己,12,荤公流,23850,12750,69,20,No
401,咯己,12,荤公流,22800,11250,69,0,No
402,咯己,12,荤公流,20700,11250,69,2,No
403,咯己,12,荤公流,21300,11250,69,3,Yes
404,咯己,12,荤公流,24300,15000,69,121,Yes
405,咯己,12,荤公流,19650,13950,69,133,Yes
406,巢己,17,版康磊,60000,32490,68,17,No
407,巢己,15,荤公流,30300,15750,68,55,No
408,巢己,19,版康磊,61250,33000,68,9,No
409,巢己,19,荤公流,36000,19500,68,21,No
410,咯己,8,荤公流,25200,18750,68,344,No
411,咯己,12,荤公流,16200,10200,68,180,No
412,咯己,12,荤公流,22800,11250,68,2,No
413,咯己,16,版康磊,43500,19500,68,11,No
414,巢己,8,包府流,30300,15750,68,155,Yes
415,巢己,15,荤公流,31950,15750,68,70,Yes
416,巢己,15,荤公流,35250,13500,67,6,No
417,巢己,15,荤公流,37800,15000,67,36,No
418,巢己,15,荤公流,31200,15750,67,46,No
419,巢己,15,荤公流,29400,16500,67,68,No
420,巢己,19,版康磊,70000,35040,67,75,No
421,巢己,15,荤公流,33900,15750,67,96,No
422,巢己,15,荤公流,27150,16500,67,78,No
423,咯己,12,荤公流,22200,13800,67,196,No
424,咯己,15,荤公流,31350,11100,67,47,No
425,咯己,12,荤公流,20850,13500,67,181,No
426,巢己,16,荤公流,33300,17490,67,120,Yes
427,巢己,8,荤公流,26250,16050,67,97,Yes
428,巢己,15,荤公流,31950,15750,67,58,Yes
429,巢己,8,包府流,30000,15750,67,305,Yes
430,巢己,19,版康磊,66250,34980,67,99,Yes
431,巢己,18,版康磊,86250,45000,66,50,No
432,巢己,12,荤公流,30750,15000,66,56,No
433,巢己,12,荤公流,33540,15750,66,47,No
434,巢己,16,荤公流,34950,20250,66,55,No
435,巢己,15,荤公流,40350,16500,66,80,No
436,巢己,12,荤公流,30270,15750,66,80,No
437,巢己,8,荤公流,26250,16050,66,264,No
438,巢己,15,荤公流,32400,15000,66,64,No
439,咯己,12,荤公流,20400,11250,66,0,No
440,咯己,8,荤公流,24150,12750,66,96,No
441,咯己,15,荤公流,23850,13500,66,122,No
442,咯己,12,荤公流,29700,13500,66,26,No
443,咯己,8,荤公流,21600,13500,66,228,No
444,咯己,12,荤公流,24450,15750,66,87,No
445,巢己,15,荤公流,28050,16500,66,84,Yes
446,巢己,16,版康磊,1.00E+05,44100,66,128,Yes
447,巢己,15,荤公流,49000,20550,66,86,Yes
448,咯己,12,荤公流,16350,10200,66,163,Yes
449,巢己,16,版康磊,70000,21750,65,19,No
450,巢己,19,版康磊,55000,34980,65,129,No
451,巢己,15,荤公流,28500,14250,65,20,No
452,巢己,12,荤公流,28800,18000,65,210,No
453,巢己,15,荤公流,24450,15750,65,338,No
454,巢己,19,版康磊,90625,31250,65,18,No
455,巢己,16,版康磊,43650,19500,65,19,No
456,巢己,19,版康磊,75000,42510,65,54,No
457,巢己,15,荤公流,31650,14250,65,10,No
458,巢己,19,版康磊,61875,28740,65,26,No
459,咯己,12,荤公流,21750,11250,65,0,No
460,咯己,12,荤公流,22500,12750,65,24,No
461,咯己,8,荤公流,21600,13500,65,173,No
462,咯己,16,版康磊,34410,19500,65,79,No
463,咯己,15,荤公流,20700,14250,65,241,No
464,巢己,19,版康磊,47550,33000,64,27,No
465,巢己,12,荤公流,33900,16500,64,106,No
466,咯己,12,荤公流,23400,13500,64,198,No
467,咯己,16,荤公流,32850,19500,64,20,No
468,咯己,16,版康磊,55750,19980,64,36,No
469,咯己,15,荤公流,25200,13950,64,57,No
470,巢己,12,荤公流,26250,15750,64,69,Yes
471,巢己,15,荤公流,26400,15750,64,32,Yes
472,巢己,15,荤公流,39150,15750,63,46,No
473,咯己,12,荤公流,21450,12750,63,139,No
474,咯己,12,荤公流,29400,14250,63,9,No
